ID,Language_ID,Headword,Part_Of_Speech
439-baljan,Gothic,balþjan,Verb
440-balwawesei,Gothic,balwawesei,"Noun, common, feminine"
441-balweins,Gothic,balweins,"Noun, common, feminine"
442-balwjan,Gothic,balwjan,Verb
443-banauis,Gothic,Banauis,"Noun, proper"
444-bandi,Gothic,bandi,"Noun, common, feminine"
445-bandja,Gothic,bandja,"Noun, common, masculine"
446-bandwa,Gothic,bandwa,"Noun, common, feminine"
447-bandwjan,Gothic,bandwjan,Verb
448-gabandwjan,Gothic,ga-bandwjan,Verb
449-bandwo,Gothic,bandwo,"Noun, common, feminine"
450-banja,Gothic,banja*,"Noun, common, feminine"
451-bansts,Gothic,bansts,"Noun, common, masculine"
452-barabbas,Gothic,Barabba(s),"Noun, proper"
453-barakeias,Gothic,Barakeias*,"Noun, proper"
454-barbarus,Gothic,barbarus,"Noun, common, masculine"
455-barizeins,Gothic,barizeins,Adjective
456-barms,Gothic,barms,"Noun, common, masculine"
457-barn,Gothic,barn,"Noun, common, neuter"
458-barnabas,Gothic,Barnabas,"Noun, proper"
459-barnilo,Gothic,barnilo,"Noun, common, neuter"
460-barniskei,Gothic,barniskei,"Noun, common, feminine"
461-barniski,Gothic,barniski,"Noun, common, neuter"
462-barnisks,Gothic,barnisks,Adjective
463-barteimaiaus,Gothic,Barteimaiaus,"Noun, proper"
464-baraulaumaius,Gothic,Barþaulaumaius,"Noun, proper"
465-barusnjan,Gothic,barusnjan,Verb
466-bassus,Gothic,Bassus*,"Noun, proper"
467-batiza,Gothic,batiza,Adjective
468-batista,Gothic,batista,"Adjective, Superlative"
469-gabatnan,Gothic,ga-batnan,Verb
470-batwins,Gothic,Batwins*,"Noun, proper"
471-bauains,Gothic,bauains,"Noun, common, feminine"
472-bauan,Gothic,bauan,Verb
473-gabauan,Gothic,ga-bauan,Verb
474-bauanairgais,Gothic,Bauanairgais,"Noun, proper"
475-bauauz,Gothic,Bauauz*,"Noun, proper"
476-usbaugjan,Gothic,us-baugjan,Verb
477-ufbauljan,Gothic,uf-bauljan,Verb
478-baur,Gothic,baur,"Noun, common, masculine"
479-baurgja,Gothic,baurgja,"Noun, common, masculine"
480-baurgs,Gothic,baurgs,"Noun, common, feminine"
481-baurgswaddjus,Gothic,baurgswaddjus,"Noun, common, feminine"
482-baurei,Gothic,baurþei,"Noun, common, feminine"
483-baus,Gothic,bauþs,Adjective
484-beidan,Gothic,beidan,Verb
485-gabeidan,Gothic,ga-beidan,Verb
486-usbeidan,Gothic,us-beidan,Verb
487-beist,Gothic,beist,"Noun, common, neuter"
488-gabeistjan,Gothic,ga-beistjan,Verb
489-beitan,Gothic,beitan,Verb
490-andbeitan,Gothic,and-beitan,Verb
491-bero,Gothic,Beroþ,"Noun, proper"
492-berusjos,Gothic,berusjos,"Noun, common, masculine"
493-beania,Gothic,Beþania,"Noun, proper"
494-belaihaim,Gothic,Beþlaihaim,"Noun, proper"
495-besaeida,Gothic,Beþsaeida,"Noun, proper"
496-besfagei,Gothic,Beþsfagei,"Noun, proper"
497-bi,Gothic,bi,"Preposition, +AD"
498-bibaurgeins,Gothic,bibaurgeins,"Noun, common, feminine"
499-bida,Gothic,bida,"Noun, common, feminine"
500-bidagwa,Gothic,bidagwa,"Noun, common, masculine"
501-bidjan,Gothic,bidjan,Verb
502-gabidjan,Gothic,ga-bidjan,Verb
503-usbidan,Gothic,us-bidan,Verb
504-bifaih,Gothic,bifaih,"Noun, common, neuter"
505-bifaihon,Gothic,bifaihon,"Noun, common"
506-bihait,Gothic,bihait,"Noun, common, neuter"
507-bihaitja,Gothic,bihaitja,"Noun, common, masculine"
508-bie,Gothic,biƕe,Adverb
509-bijands,Gothic,bijands,"Participle, present"
510-bimait,Gothic,bimait,"Noun, common, neuter"
511-bindan,Gothic,bindan,Verb
512-andbindan,Gothic,and-bindan,Verb
513-bibindan,Gothic,bi-bindan,Verb
514-gabindan,Gothic,ga-bindan,Verb
515-bireikei,Gothic,bireikei,"Noun, common, feminine"
516-birekjai,Gothic,birekjai,"Noun, common"
517-birodeins,Gothic,birodeins,"Noun, common, feminine"
518-birunains,Gothic,birūnains,"Noun, common, feminine"
519-birusjos,Gothic,birusjos,<none>
520-bisauleins,Gothic,bisauleins,"Noun, common, feminine"
521-bistuggq,Gothic,bistug(g)q,"Noun, common, neuter"
522-bisunjane,Gothic,bisunjane,Adverb
523-bie,Gothic,biþe,Adverb
524-anabiudan,Gothic,ana-biudan,Verb
525-faurbiudan,Gothic,faur-biudan,Verb
526-biugan,Gothic,biugan,Verb
527-gabiugan,Gothic,ga-biugan,Verb
